id,error_type,grammatical_error_sentence,correct_sentence
340,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
341,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
342,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
343,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
344,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
345,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
346,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
347,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
348,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
349,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
350,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
351,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
352,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
353,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
354,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
355,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
356,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
357,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
358,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
359,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
360,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
361,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
362,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
363,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
364,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
365,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
366,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
367,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
368,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
369,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
370,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
371,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
372,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
373,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
374,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
375,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
376,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
377,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
378,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
379,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
380,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
381,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
382,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
383,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
384,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
385,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
386,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
387,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
388,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
389,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
390,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
391,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
392,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
393,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
394,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
395,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
396,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
397,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
398,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
399,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
400,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
401,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
402,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
403,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
404,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
405,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
406,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
407,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
408,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
409,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
410,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
411,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
412,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
413,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
414,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
415,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
416,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
417,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
418,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
419,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
420,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
421,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
422,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
423,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
424,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
425,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
426,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
427,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
428,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
429,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
430,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
431,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
432,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
433,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
434,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
435,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
436,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
437,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
438,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
439,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
440,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
441,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
442,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
443,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
444,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
445,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
446,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
447,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
448,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
449,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
450,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
451,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
452,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
453,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
454,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
455,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
456,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
457,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
458,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
459,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
460,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
461,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
462,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
463,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
464,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
465,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
466,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
467,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
468,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
469,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
470,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
471,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
472,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
473,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
474,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
475,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
476,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
477,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
478,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
479,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
480,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
481,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
482,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
483,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
484,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
485,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
486,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
487,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
488,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
489,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
490,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
491,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
492,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
493,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
494,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
495,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
496,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
497,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
498,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
499,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
500,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
501,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
502,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
503,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
504,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
505,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
506,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
507,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
508,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
509,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
510,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
511,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
512,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
513,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
514,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
515,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
516,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
517,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
518,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
519,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
520,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
521,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
522,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
523,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
524,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
525,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
526,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
527,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
528,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
529,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
530,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
531,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
532,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
533,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
534,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
535,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
536,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
537,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
538,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
539,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
540,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
541,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
542,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
543,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
544,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
545,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
546,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
547,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
548,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
549,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
550,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
551,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
552,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
553,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
554,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
555,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
556,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
557,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
558,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
559,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
560,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
561,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
562,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
563,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
564,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
565,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
566,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
567,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
568,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
569,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
570,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
571,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
572,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
573,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
574,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
575,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
576,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
577,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
578,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
579,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
580,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
581,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
582,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
583,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
584,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
585,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
586,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
587,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
588,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
589,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
590,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
591,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
592,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
593,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
594,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
595,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
596,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
597,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
598,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
599,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
600,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
601,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
602,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
603,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
604,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
605,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
606,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
607,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
608,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
609,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
610,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
611,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
612,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
613,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
614,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
615,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
616,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
617,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
618,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
619,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
620,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
621,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
622,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
623,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
624,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
625,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
626,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
627,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
628,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
629,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
630,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
631,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
632,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
633,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
634,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
635,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
636,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
637,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
638,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
639,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
640,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
641,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
642,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
643,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
644,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
645,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
646,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
647,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
648,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
649,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
650,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
651,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
652,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
653,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
654,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
655,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
656,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
657,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
658,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
659,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
660,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
661,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
662,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
663,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
664,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
665,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
666,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
667,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
668,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
669,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
670,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
671,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
672,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
